race,height,weight,description
"Labrador Retriever",60.5,25.3,"Friendly and energetic."
"Beagle",40.2,10.5,"Curious and affectionate."
"Poodle",35.0,8.0,"Intelligent and active."
"Bulldog",31.0,23.0,"Calm and loving."
"Golden Retriever",56.7,30.0,"Confident and friendly."
"German Shepherd",65.0,34.0,"Loyal and courageous."
"Boxer",57.0,30.0,"Playful and patient."
"Chihuahua",20.0,2.5,"Alert and lively."
"Dachshund",23.0,7.5,"Brave and curious."
"Shih Tzu",26.0,6.0,"Affectionate and outgoing."
"Siberian Husky",58.0,23.0,"Friendly and energetic."
"Rottweiler",63.0,50.0,"Confident and fearless."
"Great Dane",81.0,54.0,"Gentle and friendly giant."
"Pug",30.0,7.0,"Charming and sociable."
"Cocker Spaniel",38.0,13.0,"Gentle and affectionate."
"Border Collie",53.0,20.0,"Smart and energetic."
"Maltese",25.0,3.5,"Gentle and playful."
"Doberman",70.0,40.0,"Alert and fearless."
"Australian Shepherd",58.0,25.0,"Smart and work-oriented."
"Chow Chow",51.0,26.0,"Dignified and loyal."
"Dalmatian",58.0,25.0,"Outgoing and friendly."
"French Bulldog",30.0,11.0,"Adaptable and playful."
"Pomeranian",22.0,3.0,"Lively and friendly."
"Boston Terrier",43.0,10.0,"Charming and intelligent."
"Weimaraner",63.0,34.0,"Energetic and loyal."
